"","species","phylum","common_name_division","subtidal","intertidal","solitary_colonial","adult_body_size_bin","calcareous","motility_adult","herbivore","predator","omnivore","deposit_feeder","filter_suspension","scavenger","trophic_level","benthic","pelagic","epibiotic"
"1","Annelida","Annelida","Annelid worm","yes","yes","solitary","SC1","no","motile","yes","yes","yes","yes","yes","yes","secondary consumer","yes","yes","no"
"2","Sedentary Polychaete","Annelida","Annelid worm","yes","yes","solitary","SC1","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"3","Spirorbis","Annelida","Annelid worm","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","no","no","yes"
"4","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","no","no","yes"
"5","Anurida maritima","Arthropoda","Collembolan","no","yes","solitary","SC1","yes","motile","no","no","no","no","no","yes","decomposer","yes","no","no"
"6","Amphipoda","Arthropoda","Crustacean","no","yes","solitary","SC1","yes","motile","yes","yes","yes","no","no","yes","secondary consumer","yes","yes","yes"
"7","Cancer borealis","Arthropoda","Crustacean","yes","yes","solitary","SC2","yes","motile","no","yes","yes","no","no","no","secondary consumer","yes","no","no"
"8","Cancer irroratus","Arthropoda","Crustacean","yes","yes","solitary","SC2","yes","motile","yes","yes","yes","no","no","yes","secondary consumer","yes","no","no"
"9","Carcinus maenas","Arthropoda","Crustacean","no","yes","solitary","SC2","yes","motile","no","yes","no","no","no","yes","secondary consumer","yes","no","yes"
"10","Hemigrapsus sanguineus","Arthropoda","Crustacean","no","yes","solitary","SC2","yes","motile","no","no","yes","no","no","yes","secondary consumer","yes","no","no"
"11","Homarus americanus","Arthropoda","Crustacean","yes","no","solitary","SC4","yes","motile","no","yes","yes","no","no","no","secondary consumer","yes","no","no"
"12","Isopoda","Arthropoda","Crustacean","no","yes","solitary","SC2","yes","motile","yes","no","no","no","no","yes","primary consumer","yes","no","no"
"13","Pagurus acadianus","Arthropoda","Crustacean","no","yes","solitary","SC2","yes","motile","no","no","yes","no","no","yes","secondary consumer","yes","no","no"
"14","Bugula neritina","Bryozoa","Bryozoan","yes","yes","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"15","Bugulina spicata","Bryozoa","Bryozoan","yes","no","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"16","Celleporella hyalina","Bryozoa","Bryozoan","yes","yes","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"17","Crisia eburnea","Bryozoa","Bryozoan","yes","no","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"18","Crisularia turrita","Bryozoa","Bryozoan","yes","no","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"19","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"20","Dendrobeania murrayana","Bryozoa","Bryozoan","yes","no","colonial","SC3","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"21","Electra pilosa","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"22","Flustrellidra hispida","Bryozoa","Bryozoan","yes","yes","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"23","Membranipora membranacea","Bryozoa","Bryozoan","yes","yes","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"24","Patinella verrucaria","Bryozoa","Bryozoan","yes","no","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"25","Schizoporella unicornis","Bryozoa","Bryozoan","yes","yes","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"26","Tricellaria inopinata","Bryozoa","Bryozoan","yes","no","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"27","Diadumene lineata","Cnidaria","Anemone","yes","yes","solitary","SC1","no","sessile","no","yes","no","no","no","no","secondary consumer","yes","no","yes"
"28","Metridium dianthus","Cnidaria","Anemone","no","yes","gregarious","SC2","no","sessile","no","yes","yes","no","yes","no","secondary consumer","yes","no","yes"
"29","Urticina felina","Cnidaria","Anemone","yes","no","solitary","SC2","no","sessile","no","yes","no","no","no","no","secondary consumer","yes","no","yes"
"30","Metridium senile","Cnidaria","Cnidarian","no","yes","gregarious","SC3","no","sessile","no","yes","no","no","no","no","secondary consumer","yes","no","yes"
"31","Pachycerianthus borealis","Cnidaria","Cnidarian","yes","no","solitary","SC3","no","sessile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"32","Dynamena pumila","Cnidaria","Hydrozoan","no","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"33","Obelia","Cnidaria","Hydrozoan","yes","no","colonial","SC3","no","motile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"34","Cucumaria frondosa","Echinodermata","Echinoderm","yes","no","gregarious","SC3","yes","motile","no","no","no","yes","yes","no","decomposer","yes","no","no"
"35","Echinarachnius parma","Echinodermata","Echinoderm","yes","no","solitary","SC2","yes","motile","yes","no","yes","yes","no","yes","decomposer","yes","no","no"
"36","Ophiopholis aculeata","Echinodermata","Echinoderm","yes","no","solitary","SC2","yes","motile","no","yes","no","no","no","yes","secondary consumer","yes","no","no"
"37","Strongylocentrotus droebachiensis","Echinodermata","Echinoderm","yes","yes","gregarious","SC2","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","yes"
"38","Asterias forbesi","Echinodermata","Sea Stars","yes","yes","solitary","SC2","yes","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"39","Asterias rubens","Echinodermata","Sea Stars","yes","yes","solitary","SC3","yes","motile","no","yes","no","no","no","yes","secondary consumer","yes","yes","no"
"40","Henricia sanguinolenta","Echinodermata","Sea Stars","yes","yes","solitary","SC2","yes","motile","no","no","no","no","yes","yes","primary consumer","yes","no","no"
"41","Small worm","Mixed","Small worm","yes","yes","solitary","SC1","no","motile","yes","yes","yes","yes","no","yes","secondary consumer","yes","yes","no"
"42","Anomia simplex","Mollusca","Bivalve","no","yes","solitary","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"43","Hiatella arctica","Mollusca","Bivalve","no","yes","solitary","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"44","Modiolus modiolus","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"45","Mya arenaria","Mollusca","Bivalve","yes","yes","solitary","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","no"
"46","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"47","Ostrea edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","no","no","yes"
"48","Placopecten magellanicus","Mollusca","Bivalve","yes","no","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"49","Boreochiton ruber","Mollusca","Chiton","yes","no","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","yes"
"50","Stenosemus albus","Mollusca","Chiton","yes","no","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","no"
"51","Buccinum undatum","Mollusca","Gastropod","yes","no","solitary","SC2","yes","motile","no","no","no","no","no","yes","secondary consumer","yes","no","yes"
"52","Crepidula fornicata","Mollusca","Gastropod","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"53","Gastropoda","Mollusca","Gastropod","yes","yes","solitary","SC2","yes","motile","yes","yes","yes","no","yes","yes","secondary consumer","yes","no","no"
"54","Lacuna vincta","Mollusca","Gastropod","no","yes","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","no","no","yes"
"55","Littorina littorea","Mollusca","Gastropod","no","yes","gregarious","SC2","yes","motile","yes","no","no","no","no","no","primary consumer","no","no","yes"
"56","Littorina obtusata","Mollusca","Gastropod","no","yes","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","no","no","yes"
"57","Littorina saxatilis","Mollusca","Gastropod","no","yes","solitary","SC2","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","no"
"58","Nucella lapillus","Mollusca","Gastropod","no","yes","gregarious","SC2","yes","motile","no","yes","no","no","no","no","secondary consumer","no","no","yes"
"59","Nudibranchia","Mollusca","Gastropod","yes","yes","solitary","SC1","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"60","Testudinalia testudinalis","Mollusca","Gastropod","yes","no","solitary","SC2","yes","sessile","yes","no","no","no","no","no","primary consumer","yes","no","yes"
"61","Thylacodes","Mollusca","Gastropod","yes","no","solitary","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"62","Halichondria panicea","Porifera","Sponge","yes","no","colonial","SC3","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"63","Halisarca dujardinii","Porifera","Sponge","yes","no","colonial","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"64","Hymedesmia","Porifera","Sponge","yes","no","colonial","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"65","Leucosolenia","Porifera","Sponge","yes","no","colonial","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"66","Aplidium pallidum","Tunicata","Tunicate","yes","no","colonial","SC3","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","no"
"67","Boltenia echinata","Tunicata","Tunicate","yes","no","solitary","SC1","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"68","Boltenia ovifera","Tunicata","Tunicate","yes","no","gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"69","Botrylloides violaceus","Tunicata","Tunicate","yes","no","colonial","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"70","Botryllus schlosseri","Tunicata","Tunicate","yes","yes","colonial","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"71","Ciona intestinalis","Tunicata","Tunicate","yes","no","gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"72","Ciona savignyi","Tunicata","Tunicate","yes","no","gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","no","no","yes"
"73","Dendrodoa carnea","Tunicata","Tunicate","yes","no","gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"74","Didemnum albidum","Tunicata","Tunicate","yes","no","colonial","SC1","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"75","Didemnum vexillum","Tunicata","Tunicate","yes","yes","colonial","SC1","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"76","Diplosoma listerianum","Tunicata","Tunicate","yes","no","colonial","SC1","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"77","Tunicate","Tunicata","Tunicate",NA,NA,"gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
"78","Cyclopterus lumpus","Vertebrata","Fish","yes","no","solitary","SC4","no","motile","no","yes","no","no","no","yes","secondary consumer","yes","yes","no"
"79","Gaidropsarus","Vertebrata","Fish","yes","no","solitary","SC3","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"80","Morone saxatilis","Vertebrata","Fish","yes","no","solitary","SC5","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"81","Myoxocephalus octodecemspinosus","Vertebrata","Fish","yes","no","solitary","SC3","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"82","Myoxocephalus scorpius","Vertebrata","Fish","yes","no","solitary","SC4","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"83","Pholis gunnellus","Vertebrata","Fish","yes","no","solitary","SC3","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"84","Pollachius virens","Vertebrata","Fish","yes","no","gregarious","SC5","no","motile","no","yes","no","no","no","no","secondary consumer","yes","yes","no"
"85","Pseudopleuronectes americanus","Vertebrata","Fish","yes","no","solitary","SC4","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"86","Tautoga onitis","Vertebrata","Fish","yes","no","solitary","SC4","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"87","Tautogolabrus adspersus","Vertebrata","Fish","yes","no","gregarious","SC3","no","motile","no","yes","no","no","no","yes","secondary consumer","yes","no","no"
"88","Urophycis regia","Vertebrata","Fish","yes","no","solitary","SC3","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
