binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Sporophila intermedia,156,1,1,1,1,12.10,11.09,7.40,57.14,48.67,16.00,14.06,4,4.8,0.6,0.6,C,LC,Medidas ICN,0.027559064,0.106881856,-1.178282159,0.447616024,-0.229297831,-0.156142649,0.477448698,-0.599776474,0.031202572,-0.418511029,-0.184466218
Saltator atripennis,157,1,1,1,1,55.00,22.96,9.74,94.99,84.46,23.96,10.63,3,4.1,0.8,0.8,C,LC,MontoyaEtAl2018,0.030363568,0.118201306,0.302672857,1.14061553,-0.001524337,-0.257871634,-0.231906837,-0.171398843,0.442596455,-0.208727233,0.049010123
Saltator striatipectus,158,1,1,1,1,39.33,20.79,9.58,92.39,75.29,23.91,14.47,7,4.1,1,0.2,C,LC,MontoyaEtAl2018,0.019047625,0.117300182,0.194737782,0.355258937,-1.251712614,0.016217358,0.008473895,-0.014802133,0.396079102,-0.31365007,-0.037077442
Sphenopsis frontalis,159,1,,,1,15.79,15.38,4.37,68.81,62.74,19.85,9.88,1,3.7,0.2,0.2,C,LC,Medidas ICN-Mahecha,0.012752063,0.113250493,-1.270100286,1.142639764,0.756227289,0.047100661,-0.143095748,-0.145116759,-0.192258477,0.03174096,-0.11938307
Coereba flaveola,160,1,1,1,1,9.00,13.25,3.87,53.01,32.62,18.00,10.38,5,3.4,0.6,0.8,C,LC,Medidas ICN-Mahecha,0.017203698,0.117072028,-1.826553161,0.522510118,-0.60197184,0.185450214,0.33035097,0.147296007,-0.195070885,-0.021268501,-0.243424814
Tiaris olivaceus,161,1,1,1,1,8.50,10.66,4.03,52.57,41.03,17.07,9.85,7,3.4,0.6,0.8,C,LC,MontoyaEtAl2018,0.014179914,0.124375337,-1.784235442,0.256923063,-1.281488893,0.426434215,0.291353888,0.003957387,-0.213400756,-0.069387813,-0.23217351
Chlorochrysa nitidissima,162,1,1,1,1,16.87,12.83,3.96,66.97,41.03,19.33,22.53,1,3.7,0.8,0.4,C,VU,MontoyaEtAl2018,0.016286822,0.109430579,-1.501727475,0.474593223,1.035126181,0.008143094,0.038394415,0.118504862,0.122629783,-0.12574839,-0.072004331
Iridosornis porphyrocephalus,163,1,1,1,1,22.26,14.20,5.44,73.71,58.85,21.96,14.27,1,3.7,0.8,0.2,C,NT,MontoyaEtAl2018,0.006644269,0.106623752,-1.03637264,1.002219075,0.844029599,0.060374699,-0.099563136,-0.047026704,0.118753642,-0.172101979,-0.087679917
Pipraeidea melanonota,164,1,1,1,1,18.00,14.10,5.11,85.87,54.63,18.50,27.50,8,3.7,0.6,0.6,C,LC,MontoyaEtAl2018,0.02318654,0.114058805,-0.905792739,-0.725162639,-1.220641057,0.392638573,0.016740362,0.212920012,0.199257895,-0.083786855,-0.115833152
Anisognathus somptuosus,165,1,1,1,1,47.00,20.19,6.41,93.28,68.31,23.78,21.02,1,3.7,1,1,C,LC,MontoyaEtAl2018,0.021692028,0.112684333,-0.332546567,0.777249885,0.978309494,-0.099523535,-0.322378664,0.202571009,0.413699398,-0.067772898,0.093228524
Tangara ruficervix,166,1,1,1,1,19.00,6.80,5.05,72.50,52.50,20.10,19.73,3,4.9,1,0.6,C,LC,Medidas ICN-Mahecha,0.01360702,0.102239645,-1.09670843,0.240372561,0.421985769,0.414323658,0.396462222,-0.414734599,0.080612799,-0.303657111,-0.041752699
Tangara heinei,167,1,1,1,1,20.00,13.30,5.08,68.89,44.77,17.62,18.80,2,4.9,0.8,0.8,C,LC,Medidas ICN-Mahecha,0.01026024,0.102358837,-1.116535469,0.432852024,0.681026342,-0.038892557,0.427765296,-0.293769275,0.059641043,-0.064329725,0.044061064
Tangara vitriolina,168,1,1,1,1,23.00,13.75,5.86,74.86,53.82,17.18,22.00,7,4.9,0.6,0.6,C,LC,Medidas ICN,0.0200803,0.106655469,-0.725709345,-0.384094173,-0.939510624,0.254914933,0.436837983,-0.221995429,0.13509532,-0.080519367,0.130046712
Tangara cyanicollis,169,1,1,1,1,17.00,12.78,4.45,64.61,41.99,15.76,22.07,8,4.9,0.6,0.6,C,LC,MontoyaEtAl2018,0.017105722,0.115986801,-1.114785318,-0.609633385,-1.240266365,0.359564218,0.627988423,-0.119826485,-0.026414009,0.021991663,0.157236175
Tangara nigroviridis,170,1,1,1,1,15.70,11.37,4.55,72.66,48.05,17.90,21.61,1,4.9,0.8,0.8,C,LC,MontoyaEtAl2018,0.019569589,0.1091558,-1.248401142,0.374782413,1.090985573,-0.000982532,0.315480849,-0.353278497,-0.040726138,-0.124624248,-0.088316231
Tangara labradorides,171,1,1,1,1,24.00,13.52,5.23,69.38,44.20,17.80,23.23,3,4.9,1,0.8,C,LC,MontoyaEtAl2018,0.011589871,0.100309282,-0.995212061,0.096840697,0.437823055,0.003033911,0.426707036,-0.188180757,0.178826461,-0.109047782,0.150086593
Tangara gyrola,172,1,1,1,1,21.00,15.09,4.99,75.69,46.40,15.33,20.06,4,4.9,0.8,0.2,C,LC,MontoyaEtAl2018,0.019216028,0.098819112,-1.001236328,0.061873209,0.035209716,0.001195608,0.424706982,-0.261678369,0.086162729,0.124321418,0.072782746
Tangara xanthocephala,173,1,1,1,1,19.00,13.17,4.44,70.22,43.15,19.09,21.04,3,4.9,0.6,0.6,C,LC,MontoyaEtAl2018,0.011589871,0.099618298,-1.114324544,0.168602743,0.431345286,0.11942084,0.471144431,-0.139084366,-0.018769218,-0.060468964,0.049629177
Tangara arthus,174,1,1,1,1,20.92,13.62,6.35,77.40,44.44,17.71,21.50,2,4.9,1,1,C,LC,MontoyaEtAl2018,0.01026024,0.10344736,-0.930929548,0.333534291,0.693418503,-0.177013164,0.404440185,-0.315468895,0.238695427,-0.184052204,-0.081942505
Thraupis episcopus,175,1,1,1,1,35.00,16.61,6.19,82.29,58.34,19.06,13.12,6,4,0.6,1,C,LC,MontoyaEtAl2018,0.019839166,0.103771667,-0.586268885,0.367943004,-0.830537459,0.266312426,0.158764841,-0.023381922,0.327519866,0.101871377,0.124293597
Chlorospingus canigularis,176,1,1,1,1,20.78,14.67,5.12,68.39,60.85,23.27,13.98,3,3.7,0.6,0.6,C,LC,MontoyaEtAl2018,0.018022475,0.099100777,-0.990873547,0.75499754,0.182336165,0.235240118,-0.042129884,0.069428222,-0.023777047,-0.194710409,-0.016400501
Arremon brunneinucha,177,1,1,1,1,45.81,19.69,5.81,84.05,81.70,29.94,7.82,3,3.8,1,0.8,C,LC,MontoyaEtAl2018,0.022566339,0.116283877,-0.143797688,1.230898123,0.123738241,0.425066078,-0.199665045,0.230495918,-0.02865378,-0.088040133,0.180042737
Zonotrichia capensis,178,1,1,1,1,21.08,13.64,5.54,63.44,57.23,22.41,23.38,9,4.3,0.6,0.8,C,LC,MontoyaEtAl2018,0.030984023,0.118331675,-0.726023317,-0.593080401,-1.602265034,0.533126556,0.313246704,0.16852543,0.005108272,-0.339609538,0.188987022
Atlapetes albinucha,179,1,1,1,1,32.00,18.08,6.52,72.55,76.57,25.78,10.49,3,3.8,1,0.8,C,LC,MontoyaEtAl2018,0.012926635,0.10677618,-0.446089677,1.054980991,0.084437638,0.168674257,-0.179596525,0.027326548,0.018800055,-0.240326754,0.111799415
Piranga flava,180,1,1,1,1,32.30,20.73,8.90,91.20,79.20,17.26,18.75,6,4.1,0.6,0.2,C,LC,Medidas ICN-Mahecha,0.023611395,0.108376413,-0.09628411,0.154143324,-0.873707964,-0.219081391,-0.204207489,-0.264728235,0.387162088,-0.125215205,-0.010651035
Piranga rubra,181,1,1,1,1,28.20,19.78,8.49,92.38,64.32,17.18,27.63,6,3.8,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.023611395,0.109184913,-0.332625446,-0.301478301,-0.706095399,-0.279763672,-0.183453349,0.011166713,0.551154689,-0.226204944,-0.099369423
Habia cristata,182,1,,,,37.30,22.89,7.86,89.32,74.91,24.28,14.39,2,4.2,0.6,0,A,LC,MontoyaEtAl2018,0.030012255,0.109350677,-0.081637632,0.984027749,0.465270606,-0.264701465,-0.151245825,-0.012902329,0.171079457,-0.144774395,0.008573548
Pheucticus ludovicianus,183,1,1,1,1,43.25,19.12,9.07,102.46,67.75,22.71,26.68,8,4.7,0.6,0.4,C,LC,Medidas ICN-Mahecha,0.038174751,0.123906999,0.28786497,-0.517751857,-1.253606567,0.096255773,0.192813749,0.028830966,0.529314184,-0.316239007,0.019359875
Mniotilta varia,184,1,1,1,1,10.90,13.20,4.00,68.87,45.93,17.73,19.85,8,4.6,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.01927102,0.115492031,-1.228473549,-0.503769203,-1.295420192,0.421161176,0.505274833,-0.034351843,-0.289454751,0.004950332,-0.103057387
Geothlypis philadelphia,185,1,1,1,1,10.00,14.48,3.90,61.67,44.51,19.99,14.50,3,3.5,0.6,0.4,C,LC,Medidas ICN-Mahecha,0.01441628,0.105504643,-1.607180123,0.605251221,0.1637331,0.086508659,0.079844689,0.134219109,-0.244154929,-0.084141112,-0.259549647
Setophaga ruticilla,186,1,1,1,1,8.13,11.63,4.70,61.30,50.63,17.50,15.38,10,4.4,0.6,0.4,C,LC,Medidas ICN-Mahecha,0.029858056,0.132638714,-1.292098719,-0.523142673,-2.113315393,0.538279724,0.508269665,-0.140653275,-0.389237381,-0.132243717,-0.198907238
Setophaga pitiayumi,187,1,1,1,1,7.65,12.07,4.24,55.35,38.50,16.33,18.70,4,3,0.6,0.8,C,LC,MontoyaEtAl2018,0.022486921,0.114390816,-1.939507845,0.254113405,-0.179224568,0.012566534,-0.021263784,0.11995241,-0.069200045,-0.199853724,-0.348957618
Setophaga fusca,188,1,1,1,1,9.38,12.65,3.45,67.19,45.37,17.09,21.70,3,3.6,1,1,C,LC,Medidas ICN-Mahecha,0.016383169,0.106317903,-1.703065083,0.153631262,0.321772968,0.085433022,-0.0089738,0.042746218,-0.164627243,-0.054187296,-0.270815895
Myiothlypis coronata,189,1,1,1,1,16.73,14.19,4.32,69.88,59.98,22.75,13.40,1,3.9,1,0.6,C,LC,MontoyaEtAl2018,0.012995434,0.108137267,-1.179160082,0.97502618,0.874261237,0.153758017,-0.044917703,-0.039571722,-0.184330369,-0.119665592,-0.10954076
Basileuterus tristriatus,190,1,1,1,1,12.50,12.83,4.21,59.86,56.97,20.39,12.85,2,3.9,1,1,C,LC,MontoyaEtAl2018,0.013578071,0.105847779,-1.423712428,0.820215673,0.496291239,0.148084292,0.027053829,-0.139460879,-0.266448049,-0.152249693,-0.121977301
Cardellina canadensis,191,1,1,1,1,9.17,13.12,4.34,65.01,52.29,18.48,16.35,4,3.7,1,0.6,C,LC,Medidas ICN-Mahecha,0.015179889,0.102856864,-1.512941969,0.333528713,-0.141936,0.137320964,0.036471211,-0.054622209,-0.256005181,-0.133756354,-0.294355572
Myioborus miniatus,192,1,1,1,1,9.15,12.51,4.10,64.35,59.43,17.55,15.51,3,3.5,1,1,C,LC,MontoyaEtAl2018,0.01441628,0.105361895,-1.591060415,0.514503243,0.158092256,0.124153374,-0.163438822,-0.150366687,-0.269920826,-0.10620416,-0.284613857
Psarocolius angustifrons,193,1,,,,171.00,57.97,13.09,246.00,204.00,39.27,21.50,3,4.6,1,0,A,LC,MontoyaEtAl2018,0.074406124,0.233585525,4.095605998,0.837801094,0.266627479,-0.745766735,-2.039441013,0.35541733,-0.211155326,0.648720647,-0.587672805
Icterus chrysater,194,1,,,1,53.40,23.22,5.93,98.42,92.47,25.94,18.95,5,5.1,1,0.2,C,LC,MontoyaEtAl2018,0.031965043,0.115926905,0.383224749,0.215290725,-0.249157497,0.294565924,-0.066406214,-0.004663827,-0.127645721,0.109589574,0.367589104
Molothrus bonariensis,195,1,1,1,1,44.90,21.28,6.68,129.74,99.63,25.86,22.86,7,4.6,0.6,0.6,C,LC,MontoyaEtAl2018,0.040012343,0.125316746,0.591497036,-0.262805432,-0.857228991,0.51626178,-0.311268707,0.031947795,0.062238913,0.115646757,-0.068245952
Spinus xanthogastrus,196,1,1,1,1,10.00,11.85,4.95,64.16,42.15,12.10,36.64,4,4.2,0.8,0.2,C,LC,MontoyaEtAl2018,0.038088203,0.117414999,-1.577545292,-0.797231118,0.222865087,-0.251611242,0.06375462,-0.15563901,0.139888436,-0.29597082,-0.137873824
Spinus psaltria,197,1,1,1,1,13.00,12.10,1.60,74.00,44.00,13.60,68.92,4,4.5,0.6,0.6,C,LC,MontoyaEtAl2018,0.034974319,0.151231843,-1.521091113,-2.557943329,1.033970479,-0.063296828,-0.242212345,0.415626419,0.13863936,-0.317622821,0.235094233
Euphonia cyanocephala,198,1,1,1,1,14.00,7.60,5.88,63.05,35.00,15.78,25.34,4,3.5,0.2,0.4,C,LC,MontoyaEtAl2018,0.017688762,0.1099923,-1.607334747,-0.061739105,-0.013075842,0.066852475,0.145440663,-0.080260363,0.468566146,-0.427075917,-0.211623528
Euphonia xanthogaster,199,1,1,1,1,13.00,11.29,3.99,57.05,31.63,14.59,15.64,4,3.5,0.8,1,C,LC,MontoyaEtAl2018,0.011971861,0.110349497,-1.820871702,0.361207783,-0.153699059,0.117582972,0.261677877,-0.00192009,0.135849107,0.030542492,-0.096727418
Chlorophonia cyanea,200,1,1,1,1,14.00,9.20,5.28,59.60,32.80,16.14,16.40,4,3.7,0.2,0.6,C,LC,Medidas ICN-Mahecha,0.011971861,0.106949649,-1.636948831,0.362207367,-0.148353626,0.128089354,0.333466564,-0.115134626,0.272036055,-0.208709716,-0.165844541
Chlorophonia pyrrhophrys,201,1,1,1,1,15.00,11.31,4.64,67.38,40.08,15.84,17.65,1,3.7,0.4,0.4,C,LC,MontoyaEtAl2018,0.016286822,0.110978509,-1.622413072,0.683937132,0.894142506,-0.070236952,0.082673624,-0.158686466,0.204162589,-0.063612341,-0.179319416
Atlapetes latinuchus,202,,,,1,27.10,14.70,5.60,73.10,82.50,26.00,8.73,3,3.8,0,0.6,B,LC,Medidas ICN-Mahecha,0.012926635,0.111215698,-0.597355676,1.082421171,0.100198054,0.435033178,-0.23520313,-0.09461332,-0.125722657,-0.223935901,0.06196639
Basileuterus culicivorus,203,,,,1,10.00,13.40,4.60,56.00,53.60,19.50,9.33,4,3.9,0,0.6,B,LC,Medidas ICN-Mahecha,0.016633747,0.109254843,-1.461760569,0.716670414,-0.274571917,0.171960592,0.177360894,-0.151001861,-0.350596622,-0.136587246,-0.191695793
Bubulcus ibis,204,,,1,1,220.00,59.35,9.18,225.75,85.43,69.78,76.40,6,8.1,0,0.6,B,LC,Medidas ICN-Mahecha,0.083152445,0.303254285,4.472999368,-2.448267504,1.011315855,-0.301231558,0.559075136,2.778578503,-0.432250146,-0.547150426,-0.069134174
Chlorospingus semifuscus,205,,,1,1,23.00,15.09,5.05,71.25,55.49,23.67,14.12,1,3.7,0,0.8,B,LC,MontoyaEtAl2018,0.006644269,0.108978599,-1.036131959,1.027226068,0.864472792,0.095821316,-0.037262829,0.096831787,0.060785972,-0.167332904,-0.042525062
Colibri coruscans,206,,,,1,6.40,26.40,2.35,70.30,45.20,5.00,48.03,7,4.2,0,0.6,B,LC,Medidas ICN-Mahecha,0.03085888,0.15399107,-1.596457269,-1.955623925,-0.593285333,-0.727803991,-0.176892867,0.301245643,-0.39531993,0.447785558,0.009004875
Colibri delphinae,207,,,1,1,6.00,20.70,2.53,69.50,41.90,4.90,44.60,4,4.2,0,0.6,B,LC,Medidas ICN-Mahecha,0.011064017,0.141891178,-1.871490406,-1.397082371,0.356308486,-0.710405284,-0.168544022,0.014255063,-0.268265065,0.301268555,-0.138442041
Crotophaga ani,208,,1,,1,120.71,32.90,11.80,152.45,184.73,36.10,27.51,7,4.2,0,0.6,B,LC,Medidas ICN,0.066957819,0.194922271,2.578153786,-0.009449048,-0.980566912,0.218914195,-1.648943916,-0.01346964,0.046583308,-0.468597655,0.142151743
Cyanocorax yncas,209,,,,1,103.00,28.70,10.00,125.30,155.80,38.50,11.60,6,6.1,0,0.6,B,LC,Medidas ICN-Mahecha,0.072482831,0.178795989,2.21341758,0.701388365,-0.710985033,0.494732292,-0.439814344,-0.343169114,-0.458539365,-0.339924394,0.36887669
Drymophila striaticeps,210,,,,1,12.70,15.60,4.40,52.40,75.60,19.30,4.00,3,4.8,0,0.6,B,LC,Medidas ICN-Mahecha,0.023125632,0.116472293,-1.105172288,1.062426299,0.017652021,0.159485812,0.156033767,-0.538134126,-0.675879397,0.012638655,0.086452936
Florisuga mellivora,211,,1,,1,6.50,24.00,2.53,65.60,36.60,3.50,46.53,4,4.2,0,0.8,B,LC,Medidas ICN-Mahecha,0.011064017,0.14475529,-1.870599799,-1.483427668,0.364409956,-0.929881587,-0.140303408,0.130076694,-0.234740518,0.393023631,-0.031185047
Lophotriccus pileatus,212,,,,1,8.30,10.20,4.33,48.50,39.90,16.10,6.20,3,3.6,0,0.6,B,LC,Medidas ICN-Mahecha,0.017322241,0.123275221,-1.946877739,0.970648666,-0.035448395,0.10567637,0.265140226,-0.261162348,-0.209858083,-0.095330306,-0.279234984
Myiarchus cephalotes,213,,,1,1,25.90,19.70,7.78,85.90,91.30,20.80,15.45,3,5.1,0,0.6,B,LC,Medidas ICN-Mahecha,0.014813908,0.10833395,-0.064761161,0.617477255,0.187477789,-0.167458668,-0.103501519,-0.560067619,-0.143343718,-0.18723934,0.023297517
Pionus chalcopterus,214,,,,1,210.00,30.68,13.73,187.00,88.00,12.80,56.20,4,6.7,0,0.6,B,LC,Medidas ICN-Mahecha,0.03147485,0.201353969,2.13525315,-1.595698892,0.678323398,-1.142536585,-0.114177689,-0.543602214,1.632222344,0.119070595,0.06216192
Pionus menstruus,215,,,,1,251.00,27.50,13.33,191.50,89.10,24.30,55.50,5,6.7,0,0.6,B,LC,Medidas ICN-Mahecha,0.03147485,0.200685857,2.45336044,-1.576550057,0.467703907,-0.521995618,0.040763241,-0.140663139,1.511274231,-0.22703565,0.021648731
Pitangus sulphuratus,216,,,1,1,48.40,23.20,10.05,101.70,77.80,25.10,19.83,9,3.6,0,0.6,B,LC,Medidas ICN-Mahecha,0.036514347,0.134426614,0.454148042,-0.092040848,-1.85299414,0.067844891,-0.174407688,0.302199282,0.580596825,-0.329046707,-0.030426716
Rupornis magnirostris,217,,1,,1,279.50,28.58,11.03,235.80,171.00,57.28,19.48,7,9.7,0,0.8,B,LC,MontoyaEtAl2018,0.073460524,0.265595934,4.589305864,-0.084140133,-0.261458713,1.453524125,0.540568717,-0.399408935,-0.600779601,-0.213626558,-0.164667484
Spinus spinescens,218,,,1,1,14.62,11.78,4.86,67.98,45.52,15.38,26.04,8,4.2,0,0.2,B,LC,MontoyaEtAl2018,0.017105722,0.115323825,-1.223398524,-0.747659723,-1.243301804,0.320207649,0.312260316,-0.028587499,0.110007929,-0.11791174,-0.000204899
Spizaetus ornatus,219,,,1,1,1200.00,41.25,14.25,361.25,269.00,87.20,84.77,3,18.5,0,0.4,B,NT,Medidas ICN-Mahecha,0.206655877,0.523714931,9.458266796,-3.310756848,3.241235473,1.402777287,1.184968384,-1.053776293,-1.804006218,-1.191850976,0.10585621
Sporophila nigricollis,220,,1,,1,10.30,9.65,5.43,51.87,40.00,14.47,14.97,6,4.8,0,0.6,B,LC,MontoyaEtAl2018,0.027310322,0.113780506,-1.490889374,0.021196768,-0.803624859,0.143366293,0.645308147,-0.459988223,-0.115219411,-0.206917725,-0.087044732
Stelgidopteryx ruficollis,221,,1,,1,14.83,10.66,3.93,103.37,48.50,9.55,45.94,5,3.3,0,0.8,B,LC,MontoyaEtAl2018,0.027019956,0.129737049,-1.43285531,-1.428011381,0.116106839,0.062340101,-0.428590848,0.080765241,0.595311704,0.068563775,-0.294321457
Synallaxis brachyura,222,,,1,1,19.90,14.60,3.88,59.70,77.80,22.40,6.45,7,3.8,0,0.6,B,LC,Medidas ICN-Mahecha,0.020089953,0.115942859,-0.919797975,0.537688663,-1.253960549,0.728127069,-0.039268265,-0.033209287,-0.396853745,0.042713597,0.217827551
Thraupis cyanocephala,223,,,1,1,32.74,17.19,6.40,88.35,67.30,22.52,24.77,5,4,0,0.6,B,LC,MontoyaEtAl2018,0.025708708,0.102365934,-0.38637416,-0.043175891,-0.2704367,0.176622296,-0.110259798,0.141749882,0.290026568,-0.196049119,0.062964337
Thraupis palmarum,224,,1,,1,33.60,17.60,6.10,90.60,69.60,20.00,21.48,16,4,0,0.8,B,LC,Medidas ICN-Mahecha,0.071766355,0.167849059,-0.060620745,-1.427411227,-3.971827984,0.972390005,0.258017887,0.341782932,0.20707422,0.114447034,0.250631208
Todirostrum cinereum,225,,1,,1,7.30,12.20,4.88,44.10,34.60,18.50,5.25,12,3.6,0,0.6,B,LC,Medidas ICN-Mahecha,0.04414044,0.162408001,-1.599958969,-0.158869385,-3.060105303,0.630901807,0.694304302,0.148488311,-0.345144317,-0.131820727,-0.209069522
Troglodytes solstitialis,226,,,1,1,11.98,15.40,3.17,48.97,36.01,19.02,9.82,1,3.5,0,0.6,B,LC,MontoyaEtAl2018,0.018017417,0.122282965,-1.841313837,1.119141301,0.750277378,-0.048941804,0.176652883,0.137733128,-0.236069966,0.058737443,-0.065364654
Turdus fuscater,227,,,1,1,126.80,28.40,7.98,148.60,139.90,43.40,25.48,7,9.4,0,0.6,B,LC,Medidas ICN-Mahecha,0.066461567,0.20410246,2.899261714,-0.540132259,-0.323783839,0.835574128,0.728206686,-0.433229047,-0.901564177,-0.177967801,0.573132908
Xiphorhynchus erythropygius,228,,,,1,46.70,32.30,6.38,111.80,96.70,24.50,23.25,4,4.8,0,0.4,B,LC,Medidas ICN-Mahecha,0.028823813,0.121043166,0.585431085,0.168693495,0.069632094,-0.264269145,-0.3776128,0.219327876,-0.207181729,0.317150799,0.215022532
Zenaida auriculata,229,,,1,1,137.40,21.60,4.43,149.80,111.10,25.90,45.68,10,6.8,0,0.8,B,LC,Medidas ICN-Mahecha,0.065300792,0.189931759,1.514906137,-2.079473471,-1.055105653,1.033523421,0.051323214,0.033537949,0.10181492,0.415308419,0.724424945
Anthracothorax nigricollis ,230,,,,1,6.60,27.30,3.15,65.80,37.00,6.00,42.43,5,4.2,0,0.6,B,LC,Medidas ICN-Mahecha,0.020549936,0.142212501,-1.648522548,-1.343541921,-0.070092365,-0.962636307,-0.052840268,0.268256062,-0.332783829,0.389852698,-0.056681079
Amazilia tzacatl,231,,,,1,4.70,23.90,3.10,53.00,31.90,4.50,31.85,8,3.4,0,0.8,B,LC,Medidas ICN-Mahecha,0.039316693,0.156400217,-2.054668823,-1.177407133,-1.3528566,-0.644446101,0.003400412,0.270674062,-0.353747045,0.40282714,-0.17235492
Dryocopus lineatus,232,,,,1,175.20,40.20,11.30,184.00,130.30,26.20,42.25,12,5.8,0,0.4,B,LC,Medidas ICN-Mahecha,0.056518964,0.230543129,2.825918194,-1.770645866,-2.200893684,-0.119133938,-0.501624838,0.295976216,0.526978313,0.343633832,0.236548779
Ramphocelus dimidiatus,233,,,,1,26.00,17.20,7.13,75.70,68.60,21.30,13.95,6,3.7,0,0.8,B,LC,Medidas ICN-Mahecha,0.019839166,0.106073652,-0.543604651,0.415706878,-0.904650287,0.159028392,-0.067441961,-0.006239718,0.186925901,-0.20143665,0.004875236