"","Urticina felina","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Ostrea edulis","Placopecten magellanicus","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Boreochiton ruber","Stenosemus albus","Metridium senile","Pachycerianthus borealis","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Buccinum undatum","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Obelia","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Ciona savignyi","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia"
"Boreochiton ruber",0.785478806907378,0.724191522762951,0.705682888540031,0.766640502354788,0.73894819466248,0.73894819466248,0.781569858712716,0.689717425431711,0.713830455259027,0.675290423861852,0.689717425431711,0.689717425431711,0.763061224489796,0.689717425431711,0.73894819466248,0.713830455259027,0,0.517629513343799,0.862401883830455,0.830612244897959,0.71171114599686,0.79010989010989,0.79010989010989,0.796781789638932,0.740879120879121,0.663532182103611,0.740879120879121,0.740879120879121,0.740879120879121,0.651664050235479,0.69574568288854,0.768383045525903,0.683689167974882,0.721978021978022,0.63690737833595,0.724489795918367,0.791177394034537,0.663532182103611,0.689717425431711,0.689717425431711,0.768383045525903,0.785149136577708,0.79010989010989,0.79010989010989,0.743579277864992,0.73894819466248,0.73894819466248,0.73894819466248,0.689717425431711,0.832025117739403,0.677990580847724,0.73894819466248,0.763061224489796,0.812291993720565,0.763061224489796,0.811004709576138,0.677990580847724,0.677990580847724,0.780769230769231,0.763061224489796,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618,0.839952904238618
"Stenosemus albus",0.830612244897959,0.769324960753532,0.750816326530612,0.811773940345369,0.784081632653061,0.784081632653061,0.826703296703297,0.734850863422292,0.758963893249608,0.720423861852433,0.734850863422292,0.734850863422292,0.808194662480377,0.734850863422292,0.784081632653061,0.758963893249608,0.517629513343799,0,0.907535321821036,0.795290423861852,0.756844583987441,0.754788069073783,0.754788069073783,0.841915227629513,0.705557299843014,0.628210361067504,0.705557299843014,0.705557299843014,0.705557299843014,0.69679748822606,0.740879120879121,0.813516483516484,0.728822605965463,0.767111459968603,0.682040816326531,0.689167974882261,0.836310832025118,0.628210361067504,0.734850863422292,0.734850863422292,0.813516483516484,0.830282574568289,0.754788069073783,0.754788069073783,0.708257456828885,0.784081632653061,0.784081632653061,0.784081632653061,0.734850863422292,0.796703296703297,0.723124018838305,0.784081632653061,0.808194662480377,0.857425431711146,0.808194662480377,0.856138147566719,0.723124018838305,0.723124018838305,0.825902668759812,0.808194662480377,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512
"Metridium senile",0.730675039246468,0.710989010989011,0.692480376766091,0.692480376766091,0.717095761381476,0.717095761381476,0.759717425431711,0.754018838304553,0.778131868131868,0.754018838304553,0.754018838304553,0.754018838304553,0.741208791208791,0.754018838304553,0.717095761381476,0.778131868131868,0.862401883830455,0.907535321821036,0,0.595337519623234,0.710832025117739,0.832386185243328,0.832386185243328,0.786750392464678,0.809623233908948,0.845996860282575,0.847849293563579,0.907535321821036,0.869309262166405,0.825478806907378,0.824175824175824,0.746530612244898,0.76756671899529,0.843485086342229,0.819372056514914,0.845996860282575,0.781145996860283,0.845996860282575,0.754018838304553,0.754018838304553,0.743422291993721,0.710989010989011,0.832386185243328,0.772700156985871,0.818806907378336,0.717095761381476,0.717095761381476,0.717095761381476,0.754018838304553,0.866750392464678,0.717095761381476,0.717095761381476,0.741208791208791,0.704285714285714,0.741208791208791,0.789152276295133,0.717095761381476,0.717095761381476,0.733720565149137,0.741208791208791,0.882229199372057,0.882229199372057,0.8225431711146,0.882229199372057,0.882229199372057,0.882229199372057,0.882229199372057,0.882229199372057,0.8225431711146,0.8225431711146
"Pachycerianthus borealis",0.698885400313972,0.817660910518053,0.799152276295133,0.799152276295133,0.771459968602826,0.771459968602826,0.814081632653061,0.722229199372056,0.746342229199372,0.722229199372056,0.722229199372056,0.722229199372056,0.795572998430141,0.722229199372056,0.771459968602826,0.746342229199372,0.830612244897959,0.795290423861852,0.595337519623234,0,0.817503924646782,0.806295133437991,0.806295133437991,0.89342229199372,0.697378335949765,0.872213500784929,0.735604395604396,0.795290423861852,0.757064364207221,0.879843014128728,0.792386185243328,0.800894819466248,0.874238618524333,0.950156985871272,0.926043956043956,0.872213500784929,0.887817896389325,0.872213500784929,0.722229199372056,0.722229199372056,0.711632653061224,0.817660910518053,0.806295133437991,0.746609105180534,0.792715855572998,0.68530612244898,0.68530612244898,0.68530612244898,0.722229199372056,0.754505494505495,0.68530612244898,0.68530612244898,0.709419152276295,0.758649921507064,0.709419152276295,0.757362637362637,0.68530612244898,0.68530612244898,0.788084772370487,0.709419152276295,0.769984301412873,0.769984301412873,0.710298273155416,0.769984301412873,0.769984301412873,0.769984301412873,0.769984301412873,0.769984301412873,0.710298273155416,0.710298273155416
"Amphipoda",0.824175824175824,0.657378335949764,0.638869701726845,0.699827315541601,0.724442700156986,0.724442700156986,0.767064364207221,0.761365777080063,0.785478806907378,0.700408163265306,0.761365777080063,0.761365777080063,0.748555729984301,0.761365777080063,0.724442700156986,0.785478806907378,0.71171114599686,0.756844583987441,0.710832025117739,0.817503924646782,0,0.672904238618524,0.672904238618524,0.627268445839874,0.709827315541601,0.625557299843014,0.817802197802198,0.817802197802198,0.779576138147567,0.73574568288854,0.734442700156986,0.753877551020408,0.616875981161696,0.753751962323391,0.668681318681319,0.756263736263736,0.691412872841444,0.69530612244898,0.761365777080063,0.761365777080063,0.840031397174254,0.718335949764521,0.74265306122449,0.74265306122449,0.729073783359498,0.810596546310832,0.810596546310832,0.810596546310832,0.761365777080063,0.903673469387755,0.749638932496075,0.810596546310832,0.834709576138148,0.797786499215071,0.834709576138148,0.88265306122449,0.749638932496075,0.749638932496075,0.766263736263736,0.834709576138148,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064,0.878649921507064
"Cancer borealis",0.841616954474097,0.83989010989011,0.82138147566719,0.754270015698587,0.793689167974882,0.793689167974882,0.769199372056515,0.830612244897959,0.787613814756672,0.830612244897959,0.763500784929356,0.830612244897959,0.750690737833595,0.763500784929356,0.726577708006279,0.787613814756672,0.79010989010989,0.754788069073783,0.832386185243328,0.806295133437991,0.672904238618524,0,0.496138147566719,0.583265306122449,0.646813186813187,0.675808477237049,0.754788069073783,0.68767660910518,0.716562009419152,0.68607535321821,0.684772370486656,0.756012558869702,0.799387755102041,0.756389324960754,0.799387755102041,0.678445839874411,0.694050235478807,0.745557299843014,0.763500784929356,0.763500784929356,0.909277864992151,0.83989010989011,0.612527472527473,0.679638932496075,0.650753532182104,0.879843014128728,0.879843014128728,0.879843014128728,0.830612244897959,0.825353218210361,0.879843014128728,0.812731554160126,0.903956043956044,0.867032967032967,0.836844583987441,0.951899529042386,0.879843014128728,0.879843014128728,0.896467817896389,0.903956043956044,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865
"Cancer irroratus",0.841616954474097,0.83989010989011,0.82138147566719,0.754270015698587,0.793689167974882,0.793689167974882,0.769199372056515,0.830612244897959,0.787613814756672,0.830612244897959,0.763500784929356,0.830612244897959,0.750690737833595,0.763500784929356,0.726577708006279,0.787613814756672,0.79010989010989,0.754788069073783,0.832386185243328,0.806295133437991,0.672904238618524,0.496138147566719,0,0.583265306122449,0.646813186813187,0.675808477237049,0.754788069073783,0.68767660910518,0.716562009419152,0.68607535321821,0.684772370486656,0.756012558869702,0.799387755102041,0.756389324960754,0.799387755102041,0.678445839874411,0.694050235478807,0.745557299843014,0.763500784929356,0.763500784929356,0.909277864992151,0.83989010989011,0.612527472527473,0.679638932496075,0.650753532182104,0.879843014128728,0.879843014128728,0.879843014128728,0.830612244897959,0.825353218210361,0.879843014128728,0.812731554160126,0.903956043956044,0.867032967032967,0.836844583987441,0.951899529042386,0.879843014128728,0.879843014128728,0.896467817896389,0.903956043956044,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865,0.81563579277865
"Carcinus maenus",0.84828885400314,0.79425431711146,0.77574568288854,0.708634222919937,0.800361067503925,0.800361067503925,0.729905808477237,0.837284144427002,0.748320251177394,0.837284144427002,0.770172684458399,0.837284144427002,0.711397174254317,0.770172684458399,0.733249607535322,0.748320251177394,0.796781789638932,0.841915227629513,0.786750392464678,0.89342229199372,0.627268445839874,0.583265306122449,0.583265306122449,0,0.733940345368917,0.710627943485086,0.841915227629513,0.774803767660911,0.803689167974882,0.692747252747253,0.691444270015699,0.762684458398744,0.753751962323391,0.664788069073783,0.753751962323391,0.713265306122449,0.648414442700157,0.780376766091052,0.770172684458399,0.770172684458399,0.915949764521193,0.79425431711146,0.699654631083202,0.766766091051805,0.737880690737834,0.886514913657771,0.886514913657771,0.886514913657771,0.837284144427002,0.912480376766091,0.886514913657771,0.819403453689168,0.864662480376766,0.827739403453689,0.797551020408163,0.912605965463108,0.886514913657771,0.886514913657771,0.857174254317111,0.864662480376766,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438,0.90276295133438
"Homarus americanus",0.744599686028257,0.876813186813187,0.858304552590267,0.858304552590267,0.830612244897959,0.830612244897959,0.873233908948195,0.78138147566719,0.805494505494506,0.78138147566719,0.78138147566719,0.78138147566719,0.854725274725275,0.78138147566719,0.830612244897959,0.805494505494506,0.740879120879121,0.705557299843014,0.809623233908948,0.697378335949765,0.709827315541601,0.646813186813187,0.646813186813187,0.733940345368917,0,0.712731554160126,0.645871271585557,0.705557299843014,0.667331240188383,0.79010989010989,0.654866562009419,0.860047095761381,0.836310832025118,0.860423861852433,0.836310832025118,0.782480376766091,0.750298273155416,0.782480376766091,0.78138147566719,0.78138147566719,0.800361067503925,0.876813186813187,0.668775510204082,0.609089481946625,0.754788069073783,0.830612244897959,0.830612244897959,0.830612244897959,0.78138147566719,0.843233908948195,0.830612244897959,0.830612244897959,0.854725274725275,0.903956043956044,0.854725274725275,0.902668759811617,0.830612244897959,0.830612244897959,0.933390894819466,0.854725274725275,0.71861852433281,0.71861852433281,0.658932496075353,0.71861852433281,0.71861852433281,0.71861852433281,0.71861852433281,0.71861852433281,0.658932496075353,0.658932496075353
"Isopoda",0.907535321821036,0.707786499215071,0.689277864992151,0.750235478806907,0.774850863422292,0.774850863422292,0.817472527472527,0.811773940345369,0.835886970172684,0.79734693877551,0.811773940345369,0.811773940345369,0.798963893249607,0.811773940345369,0.774850863422292,0.835886970172684,0.663532182103611,0.628210361067504,0.845996860282575,0.872213500784929,0.625557299843014,0.675808477237049,0.675808477237049,0.710627943485086,0.712731554160126,0,0.782480376766091,0.782480376766091,0.782480376766091,0.68756671899529,0.817802197802198,0.804285714285714,0.667284144427002,0.705572998430141,0.620502354788069,0.627629513343799,0.774772370486656,0.566671899529042,0.811773940345369,0.811773940345369,0.89043956043956,0.768744113029827,0.745557299843014,0.745557299843014,0.699026687598116,0.861004709576138,0.861004709576138,0.861004709576138,0.811773940345369,0.873626373626374,0.800047095761381,0.861004709576138,0.885117739403454,0.848194662480377,0.885117739403454,0.933061224489796,0.800047095761381,0.800047095761381,0.816671899529042,0.885117739403454,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589,0.881554160125589
"Cucumaria frondosa",0.830612244897959,0.876813186813187,0.858304552590267,0.858304552590267,0.830612244897959,0.830612244897959,0.873233908948195,0.78138147566719,0.805494505494506,0.78138147566719,0.78138147566719,0.78138147566719,0.854725274725275,0.78138147566719,0.830612244897959,0.805494505494506,0.740879120879121,0.705557299843014,0.847849293563579,0.735604395604396,0.817802197802198,0.754788069073783,0.754788069073783,0.841915227629513,0.645871271585557,0.782480376766091,0,0.551569858712716,0.636310832025118,0.720863422291994,0.740879120879121,0.860047095761381,0.836310832025118,0.860423861852433,0.836310832025118,0.782480376766091,0.836310832025118,0.782480376766091,0.78138147566719,0.78138147566719,0.800361067503925,0.876813186813187,0.754788069073783,0.695102040816327,0.754788069073783,0.830612244897959,0.830612244897959,0.830612244897959,0.78138147566719,0.843233908948195,0.830612244897959,0.830612244897959,0.854725274725275,0.903956043956044,0.854725274725275,0.902668759811617,0.830612244897959,0.830612244897959,0.933390894819466,0.854725274725275,0.804631083202512,0.804631083202512,0.744945054945055,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.744945054945055,0.744945054945055
"Echinarachnius parma",0.830612244897959,0.876813186813187,0.858304552590267,0.791193092621664,0.830612244897959,0.830612244897959,0.806122448979592,0.78138147566719,0.738383045525903,0.78138147566719,0.714270015698587,0.78138147566719,0.787613814756672,0.714270015698587,0.763500784929356,0.738383045525903,0.740879120879121,0.705557299843014,0.907535321821036,0.795290423861852,0.817802197802198,0.68767660910518,0.68767660910518,0.774803767660911,0.705557299843014,0.782480376766091,0.551569858712716,0,0.636310832025118,0.653751962323391,0.673767660910518,0.792935635792779,0.836310832025118,0.79331240188383,0.836310832025118,0.715368916797488,0.769199372056515,0.782480376766091,0.714270015698587,0.714270015698587,0.860047095761381,0.876813186813187,0.68767660910518,0.754788069073783,0.68767660910518,0.830612244897959,0.830612244897959,0.830612244897959,0.78138147566719,0.776122448979592,0.830612244897959,0.763500784929356,0.854725274725275,0.903956043956044,0.787613814756672,0.902668759811617,0.830612244897959,0.830612244897959,0.933390894819466,0.854725274725275,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512,0.804631083202512
"Ophiopholis aculeata",0.731428571428571,0.876813186813187,0.858304552590267,0.858304552590267,0.769654631083203,0.769654631083203,0.873233908948195,0.720423861852433,0.805494505494506,0.78138147566719,0.78138147566719,0.720423861852433,0.854725274725275,0.78138147566719,0.830612244897959,0.805494505494506,0.740879120879121,0.705557299843014,0.869309262166405,0.757064364207221,0.779576138147567,0.716562009419152,0.716562009419152,0.803689167974882,0.667331240188383,0.782480376766091,0.636310832025118,0.636310832025118,0,0.720863422291994,0.70265306122449,0.860047095761381,0.836310832025118,0.860423861852433,0.836310832025118,0.782480376766091,0.798084772370487,0.782480376766091,0.78138147566719,0.78138147566719,0.860047095761381,0.876813186813187,0.716562009419152,0.716562009419152,0.754788069073783,0.769654631083203,0.769654631083203,0.769654631083203,0.720423861852433,0.843233908948195,0.830612244897959,0.830612244897959,0.793767660910518,0.842998430141287,0.854725274725275,0.84171114599686,0.830612244897959,0.830612244897959,0.933390894819466,0.854725274725275,0.766405023547881,0.766405023547881,0.766405023547881,0.766405023547881,0.705447409733124,0.766405023547881,0.766405023547881,0.766405023547881,0.766405023547881,0.766405023547881
"Strongylocentrotus droebachiensis",0.834709576138148,0.748226059654631,0.729717425431711,0.662605965463108,0.702025117739403,0.702025117739403,0.677535321821036,0.73894819466248,0.695949764521193,0.785478806907378,0.671836734693878,0.73894819466248,0.659026687598116,0.671836734693878,0.634913657770801,0.695949764521193,0.651664050235479,0.69679748822606,0.825478806907378,0.879843014128728,0.73574568288854,0.68607535321821,0.68607535321821,0.692747252747253,0.79010989010989,0.68756671899529,0.720863422291994,0.653751962323391,0.720863422291994,0,0.677864992150707,0.664348508634223,0.707723704866562,0.617943485086342,0.660941915227629,0.620455259026688,0.687142857142857,0.68756671899529,0.671836734693878,0.671836734693878,0.817613814756672,0.748226059654631,0.68607535321821,0.753186813186813,0.639544740973312,0.78817896389325,0.78817896389325,0.78817896389325,0.73894819466248,0.81414442700157,0.78817896389325,0.721067503924647,0.812291993720565,0.775368916797488,0.745180533751962,0.860235478806907,0.78817896389325,0.78817896389325,0.804803767660911,0.812291993720565,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388,0.889183673469388
"Buccinum undatum",0.699466248037677,0.831679748822606,0.813171114599686,0.746059654631083,0.785478806907378,0.785478806907378,0.760989010989011,0.736248037676609,0.693249607535322,0.736248037676609,0.669136577708006,0.736248037676609,0.742480376766091,0.669136577708006,0.718367346938775,0.693249607535322,0.69574568288854,0.740879120879121,0.824175824175824,0.792386185243328,0.734442700156986,0.684772370486656,0.684772370486656,0.691444270015699,0.654866562009419,0.817802197802198,0.740879120879121,0.673767660910518,0.70265306122449,0.677864992150707,0,0.675918367346939,0.719293563579278,0.676295133437991,0.719293563579278,0.678806907378336,0.566169544740973,0.745918367346939,0.597252747252747,0.597252747252747,0.814913657770801,0.831679748822606,0.636985871271585,0.704097331240188,0.722998430141287,0.785478806907378,0.785478806907378,0.785478806907378,0.736248037676609,0.811444270015699,0.785478806907378,0.718367346938775,0.809591836734694,0.858822605965463,0.742480376766091,0.857535321821036,0.785478806907378,0.785478806907378,0.888257456828885,0.809591836734694,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917,0.753940345368917
"Crepidula fornicata",0.80756671899529,0.669277864992151,0.650769230769231,0.583657770800628,0.623076923076923,0.623076923076923,0.598587127158556,0.66,0.617001569858713,0.706530612244898,0.592888540031397,0.66,0.580078492935636,0.592888540031397,0.55596546310832,0.617001569858713,0.768383045525903,0.813516483516484,0.746530612244898,0.800894819466248,0.753877551020408,0.756012558869702,0.756012558869702,0.762684458398744,0.860047095761381,0.804285714285714,0.860047095761381,0.792935635792779,0.860047095761381,0.664348508634223,0.675918367346939,0,0.653971742543171,0.662778649921507,0.705777080062794,0.665290423861852,0.685196232339089,0.732401883830455,0.521004709576138,0.521004709576138,0.738524332810047,0.669277864992151,0.756012558869702,0.823124018838305,0.657676609105181,0.709230769230769,0.709230769230769,0.709230769230769,0.66,0.762339089481947,0.709230769230769,0.642119309262166,0.733343799058085,0.696420722135008,0.666232339089482,0.724568288854003,0.709230769230769,0.709230769230769,0.669136577708006,0.733343799058085,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457
"Lacuna vincta",0.880910518053375,0.593610675039246,0.610847723704867,0.671805337519623,0.696420722135008,0.696420722135008,0.703296703296703,0.733343799058085,0.7574568288854,0.718916797488226,0.733343799058085,0.733343799058085,0.720533751962323,0.733343799058085,0.696420722135008,0.7574568288854,0.683689167974882,0.728822605965463,0.76756671899529,0.874238618524333,0.616875981161696,0.799387755102041,0.799387755102041,0.753751962323391,0.836310832025118,0.667284144427002,0.836310832025118,0.836310832025118,0.836310832025118,0.707723704866562,0.719293563579278,0.653971742543171,0,0.618100470957614,0.533029827315542,0.656357927786499,0.640518053375196,0.595400313971743,0.661459968602826,0.661459968602826,0.812009419152276,0.654568288854003,0.799387755102041,0.799387755102041,0.70105180533752,0.782574568288854,0.782574568288854,0.782574568288854,0.733343799058085,0.839905808477237,0.721616954474097,0.782574568288854,0.80668759811617,0.769764521193093,0.80668759811617,0.818885400313972,0.721616954474097,0.721616954474097,0.738241758241758,0.80668759811617,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615,0.935384615384615
"Littorina littorea",0.905023547880691,0.730486656200942,0.747723704866562,0.680612244897959,0.772339089481947,0.772339089481947,0.666138147566719,0.809262166405023,0.720298273155416,0.855792778649922,0.742150706436421,0.809262166405023,0.683375196232339,0.742150706436421,0.705227629513344,0.720298273155416,0.721978021978022,0.767111459968603,0.843485086342229,0.950156985871272,0.753751962323391,0.756389324960754,0.756389324960754,0.664788069073783,0.860423861852433,0.705572998430141,0.860423861852433,0.79331240188383,0.860423861852433,0.617943485086342,0.676295133437991,0.662778649921507,0.618100470957614,0,0.571318681318681,0.566577708006279,0.597519623233909,0.633689167974882,0.670266875981162,0.670266875981162,0.887927786499215,0.730486656200942,0.756389324960754,0.823500784929356,0.709858712715856,0.858492935635793,0.858492935635793,0.858492935635793,0.809262166405023,0.848712715855573,0.858492935635793,0.79138147566719,0.836640502354788,0.799717425431711,0.769529042386185,0.84883830455259,0.858492935635793,0.858492935635793,0.829152276295133,0.836640502354788,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931,0.959497645211931
