"","X.1","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.x","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal","X.y","X1982","X1998","X2009","X2015","X1983","X1987","X1992","X1994","X2004","X2006","X2010","X2012","X2013","X1984","X1986","X1988","X1989","X1990","X1991","X1993","X1995","X1996","X1997","X1999","X2000","X2001","X2002","X2003","X2005","X1985","X2008","X2011","X2014","X2016","X2017"
"1",1,0.293139052620637,-0.528516492746996,-0.0662124694321595,-0.335557676599356,-0.149194464808271,1,42,"Urticina felina","Invertebrate","Anemone","medium","soft","predator","secondary consumer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,-0.76071305581236,0.464514300396013,-0.359753269498766,0.391022063638513,-0.24763121685259,2,43,"Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no",140,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
"3",3,-0.638195676547979,0.331637327968901,-0.183957835426262,0.124955189455713,-0.358859390443416,3,44,"Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",7,1,1,1,1,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,0,0
"4",4,-0.604216893364303,0.29173935807124,-0.079736381633344,-0.0982992567378551,0.107705781126104,4,45,"Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",82,1,2,2,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,0,0,0,1,0,0,1,2,0
"5",5,-0.485585319551622,-0.213693313608768,0.062219303086364,-0.311412827464167,-0.11906520133544,5,46,"Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",101,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,2,3,2
"6",6,-0.485585319551622,-0.213693313608769,0.0622193030863641,-0.311412827464167,-0.11906520133544,6,47,"Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",106,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
"7",7,-0.755046278541756,0.0443102591731409,-0.135964777413562,-0.0122055902482082,0.541574004232707,7,48,"Ostrea edulis","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","yes","yes","yes",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",8,-0.371077501153648,-0.433894708139176,0.165600320726994,-0.32681874118191,-0.252362026913167,8,49,"Placopecten magellanicus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,-0.518021080879402,-0.308768107784377,0.143211674299569,-0.293678378148751,0.297049005064153,9,50,"Bugulina spicata","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,-0.419536656453309,-0.22007471659436,0.160115039980986,-0.159836325204873,-1.22437991960297,10,51,"Crisia eburnea","Invertebrate","Bryozoan","small","calcareous","filter-suspension","primary producer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,-0.379610263243222,-0.211776560327123,0.178918230260997,-0.258798562064447,0.00658674988608425,11,52,"Crisularia turrita","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,-0.371077501153648,-0.433894708139177,0.165600320726994,-0.32681874118191,-0.252362026913166,12,53,"Dendrobeania murrayana","Invertebrate","Bryozoan","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,-0.632528899277376,-0.0885667132539693,0.0398306566589397,-0.278272464431009,0.43034583064188,13,54,"Membranipora membranacea","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes",98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14",14,-0.379610263243223,-0.211776560327123,0.178918230260997,-0.258798562064446,0.0065867498860842,14,55,"Patinella verrucaria","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,-0.494118081641196,0.00842483420328543,0.0755372126203675,-0.243392648346703,0.13988357546381,15,56,"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",138,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"16",16,-0.518021080879402,-0.308768107784377,0.143211674299569,-0.293678378148751,0.297049005064154,16,57,"Tricellaria inopinata","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,-0.202342495271754,0.418137646344363,-0.0297619129580335,0.153728285179105,-0.654837959044551,17,58,"Boreochiton ruber","Invertebrate","Chiton","small","calcareous","herbivore","primary consumer","motile","motile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,0.0348787603666553,0.530900377665279,0.00815856217405884,0.165279617970699,-0.651086630443634,18,59,"Stenosemus albus","Invertebrate","Chiton","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,-0.0405930343634448,0.034174178669414,-0.12223063582705,0.224776775040643,0.0914823574248724,19,60,"Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no",99,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,2,1
"20",20,0.421234851396045,-0.35657900840803,0.174344451199383,0.0758288025056468,-0.00588534521423004,20,61,"Pachycerianthus borealis","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,-0.20517279345717,0.62177540495315,-0.253542922509659,0.077438206413134,-0.248789412228106,21,63,"Amphipoda","Invertebrate","Crustacean","small","calcareous","filter-suspension","secondary consumer","motile","motile","yes","yes","no","yes","no",5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",22,0.288942536575199,0.759663423914582,0.0157017954906427,-0.659585774390992,0.862680297289392,22,64,"Cancer borealis","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes",28,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"23",23,0.288942536575199,0.759663423914582,0.0157017954906428,-0.659585774390992,0.862680297289392,23,65,"Cancer irroratus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes",29,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"24",24,-0.196788348422497,0.833223669004364,-0.213198829856588,-0.560923531658043,1.11721342952884,24,66,"Carcinus maenus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","yes","yes","yes","no",30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"25",25,0.7882598563503,0.181958446659146,0.149080292227978,2.18714259436613e-05,0.0282215603345301,25,67,"Homarus americanus","Invertebrate","Crustacean","medium-large","calcareous","predator","secondary consumer","motile","motile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,-0.189727869754425,1.03441629606364,-0.250496049720282,0.32577892329729,-0.549967599203614,26,68,"Isopoda","Invertebrate","Crustacean","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,0.664655255388169,0.561255229625882,2.4075090565847,0.538068248081056,-0.0420101877692804,27,69,"Cucumaria frondosa","Invertebrate","Echinoderm","medium-large","calcareous","deposit feeder","decomposer","motile","motile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,0.466138612342731,0.647309827682333,2.31193645164284,0.224767722612396,0.0637785533176731,28,70,"Echinarachnius parma","Invertebrate","Echinoderm","small-medium","calcareous","deposit feeder","decomposer","motile","motile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0.492858145538076,0.0794180650529108,0.23899509790474,-0.914883406274052,-0.380974288012977,29,71,"Ophiopholis aculeata","Invertebrate","Echinoderm","medium","calcareous","scavenger","secondary consumer","motile","motile","yes","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,-0.282871530486051,0.598441070977108,-0.0289214768057429,-0.0541202472967201,-0.0549759618973049,30,72,"Strongylocentrotus droebachiensis","Invertebrate","Echinoderm","small-medium","calcareous","herbivore","primary consumer","motile","motile","yes","yes","no","yes","yes",147,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
"31",31,0.352521957666452,0.15525031339468,0.0155872121540205,-0.32482998683431,0.130258972820567,31,73,"Buccinum undatum","Invertebrate","Gastropod","small-medium","calcareous","predator","secondary consumer","motile","motile","yes","yes","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,-0.543483680172439,-0.251017889743255,0.0449005886776881,0.319644411193676,0.466658055680925,32,74,"Crepidula fornicata","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","sessile","sessile","yes","yes","no","yes","yes",48,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
"33",33,-0.573710232880541,0.693130605485261,-0.376400159296894,0.443522914760805,-0.230146686185388,33,75,"Lacuna vincta","Invertebrate","Gastropod","small","calcareous","filter-suspension","primary consumer","motile","motile","no","yes","no","yes","no",88,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
"34",34,-0.653898539109717,0.917641019814917,-0.395697061093383,0.322160202410623,0.314536672533885,34,76,"Littorina littorea","Invertebrate","Gastropod","small-medium","calcareous","herbivore","primary consumer","motile","motile","no","yes","yes","yes","no",93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
