Species,Group,Replacement
Fucus,Brown Algae,
Ectocarpus,Brown Algae,
Fucus vesiculosus,Brown Algae,
Ralfsia,Brown Algae,
Fucus distichus,Brown Algae,
Fucus vesiculosus var. spiralis,Brown Algae,Fucus vesticulosus
Sphacelaria cirrosa,Brown Algae,
Hincksia granulosa,Brown Algae,
Pylaiella littoralis,Brown Algae,
Leathesia marina,Brown Algae,
Scytosiphon lomentaria,Brown Algae,
Chordaria flagelliformis,Brown Algae,
Sphacelaria,Brown Algae,
Chorda filum,Brown Algae,
Petalonia fascia,Brown Algae,
Protectocarpus speciosus,Brown Algae,
Cladostephus spongiosus,Brown Algae,
Ahnfeltia plicata,Green Algae,
Chaetomorpha,Green Algae,
Cladophora,Green Algae,
Chaetomorpha ligustica,Green Algae,
Spongomorpha aeruginosa,Green Algae,
Monostroma,Green Algae,
Acrosiphonia,Green Algae,
Cerianthus,Invertebrate,
Annelida,Invertebrate,Annelida
Lepidonotus,Invertebrate,Annelida
Namanereis,Invertebrate,Annelida
Polychaeta (class in Lophotrochozoa),Invertebrate,Annelida
Nicolea,Invertebrate,Sedentary Polychaete
Cirratulus,Invertebrate,Sedentary Polychaete
Thelepus cincinnatus,Invertebrate,Sedentary Polychaete
Idotea balthica,Invertebrate,Isopoda
Praunus,Invertebrate,
Cancer,Invertebrate,
Colus stimpsoni,Invertebrate,Gastropoda
Flabellina,Invertebrate,Nudibranchia
Skeneopsis planorbis,Invertebrate,Gastropoda
Onchidoris,Invertebrate,Nudibranchia
Dendronotus,Invertebrate,Nudibranchia
Astyris lunata,Invertebrate,Gastropoda
Grammaria,Invertebrate,
Halacarus,Invertebrate,
Culicoides,Invertebrate,
Ophiopholis,Invertebrate,Ophiopholis aculeata
Platyhelminthes,Invertebrate,Small worm
Micrura affinis,Invertebrate,Small worm
Nematodes,Invertebrate,Small worm
Nemertea,Invertebrate,Small worm
Notoplana,Invertebrate,Small worm
Acoela,Invertebrate,Small worm
Turbellaria,Invertebrate,Small worm
Euplana,Invertebrate,Small worm
Foviella,Invertebrate,Small worm
Halichondria,Invertebrate,Halichondria panicea
Diplosoma,Invertebrate,Tunicate
Aplidium,Invertebrate,Aplidium pallidum
Molgula,Invertebrate,Tunicate
Dendrodoa,Invertebrate,Dendrodoa carnea
Corallina,Red Algae,
Ceramium virgatum,Red Algae,
Plumaria plumosa,Red Algae,
Erythrotrichia carnea,Red Algae,
Audouinella,Red Algae,
Vertebrata lanosa,Red Algae,
Antithamnion,Red Algae,
Bangia atropurpurea,Red Algae,
Devaleraea ramentacea,Red Algae,
Nemalion helminthoides,Red Algae,
Tectura testudinalis,Invertebrate,Testudinalia testudinalis
Littorina obtusata (egg case),Invertebrate,Littorina obtusata
sabellid,Invertebrate,Sedentary Polychaete
Gammarid,Invertebrate,Amphipoda
Oligochaete,Invertebrate,Annelida
Turbellarid,Invertebrate,Small worm
Nemertean,Invertebrate,Small worm
Nucella lapillus (egg case),Invertebrate,Nucella lapillus
Coryphella,Invertebrate,Nudibranchia
platyhelminthes,Invertebrate,Small worm
Lycastopsis,Invertebrate,Annelida
Tonicella rubra,Invertebrate,Boreochiton ruber
Polychaeta,Invertebrate,Annelida
Hippothoa hyaline,Invertebrate,Celleporella hyaline